course_code,course_name,material_type,material_title,material_link,description,keywords
CSE 1100,Computer Fundamentals and Ethics,Slide,Slides on Computer Ethics,https://drive.google.com/drive/folders/15DL8wwgKBuUPMvYnyOMGd5cDdYEyR65Z,covers basic knowledge on cse,"Intorduction, CSE, Software, Hardware"
CSE 1101,Structured Programming,Slide,Slide on C Programming,https://drive.google.com/drive/folders/1L0zNT3RjlYrqAfEBUthnRLJxExi4uojd,intro to programming,"C Programming, loops, array, string, pointer, slide"
CSE 1101,Structured Programming,Book,C Programming Books,https://drive.google.com/drive/folders/1341-HaTJqMHqLl8NjeSYo4HGbfxXyROh,intro to programming,"C Programming, loops, array, string, pointer, book"
CSE 1101,Structured Programming,Video,Video on C Programming,https://www.youtube.com/watch?v=-epx4dSNWOw&list=PLgH5QX0i9K3pCMBZcul1fta6UivHDbXvz,intro to programming,"C Programming, loops, array, string, pointer, book"
CSE 1102,Structured Programming Sessional,Lab Manual,Lab Manual C Programming,https://drive.google.com/drive/folders/155wpxjaw2DjbjM-3IO_3ZCqHPb0mZPq4,intro to programming,"C Programming, loops, array, string, pointer, book"
EEE 1151,Basic Electrical Engineering,Note,Notes on Basic Electrical Engineering,https://drive.google.com/drive/folders/1mM8bWbv_0TyHrNOus4Xtdv5FvSuvecDy,covers basic knowledge on eee,"eee, circuit, ohms law, superposition theorem, ac circuit"
EEE 1151,Basic Electrical Engineering,Book,Books on Basic Electrical Engineering,https://drive.google.com/drive/folders/1u8VIXH1pzxKT9Rwxu1SiepUofokOL8UR,covers basic knowledge on eee,"eee, circuit, ohms law, superposition theorem, ac circuit"
EEE 1151,Basic Electrical Engineering,Video, video on Basic Electrical Engineering,https://www.youtube.com/watch?v=-V87ANqaHD4&list=PL9RcWoqXmzaLTYUdnzKhF4bYug3GjGcEc,covers basic knowledge on eee,"eee, circuit, ohms law, superposition theorem, ac circuit"
EEE 1152,Basic Electrical Engineering Sessional,Lab Manual,Lab Materials on Basic Electrical Engineering,https://drive.google.com/drive/folders/1LYKTGE2eUOYF1_OGcw9ZJG5IBjpHocZV,"covers basic knowledge on ee, circuit design","eee, circuit, ohms law, superposition theorem, ac circuit"
Math 1113,Differential and Itegral Calculus,Note,Notes on Calculus,https://drive.google.com/drive/folders/14W5FZp9lY4jhoHIX80855-LbiJFaAnGG,covers knowledge on Differential and Integral Calculus,"calculus, integration, differentiation"
Math 1113,Differential and Itegral Calculus,Book,Books on Integral and Differential Calculus,https://drive.google.com/drive/folders/123wTZxjC9e3SCF6M6QWUos-CVzokV-Z_,covers knowledge on Differential and Integral Calculus,"calculus, integration, differentiation"
Math 1113,Differential and Itegral Calculus,Video,Video on C Differential and Integral Calculas,https://www.youtube.com/watch?v=-6RerbAHWDw&list=PLU6SqdYcYsfIJRl8mo2Rv1MpdvmVD0YyI,covers knowledge on Differential and Integral Calculus,"calculus, integration, differentiation"
